"","Rosmarinic.acid..mg.gDW.","Perilaldehyde..mg.gDW.","LeafYield.1st.DW","Leaf.yield..2nd.DW","Leaf.yield..3rd.DW","Flowering.date"
"S844F4_213_2",24.65,3.02,14.2,16.7,27.4,144
"S844F4_213_3",28.07,3.78,14.5,24.5,29,149
"S844F4_214_1",28.02,4.16,12.1,25.2,28.2,144
"S844F4_214_2",31.01,4.46,17.5,16.5,28.7,140
"S844F4_214_3",25.2,5.57,16.1,17.2,31.2,140
"S844F4_215_1",23.76,3.47,7.3,21.7,30.7,144
"S844F4_215_2",23.43,3.76,7.6,19.1,28.5,144
"S844F4_215_3",23.51,4.35,8.7,20,27.1,144
"S844F4_216_1",17.11,8.94,5.3,16,26.4,149
"S844F4_216_2",15.84,8.86,2.8,11.2,21.9,140
"S844F4_216_3",20.66,6.77,6,13.1,26,140
"S844F4_218_1",26.23,4.47,13.5,21.5,26,140
"S844F4_218_2",20.39,3.48,14.9,20.3,28.2,140
"S844F4_218_3",24.03,5.04,17.6,23.7,28.8,144
"sekihoS5_1",18.98,5.08,5,12.7,29.4,144
"sekihoS5_2",22.05,4.58,4.9,15.3,28.6,144
"sekihoS5_3",23.17,4.36,6.5,17.8,21.3,140
"sekihoS6_1",20.73,5.49,3.4,19.8,26,140
"sekihoS6_2",24.97,3.91,3.1,12.9,22.3,140
"sekihoS6_3",18.58,3.54,0,0,11.2,140
"sekihoS7_1",21.61,4.99,5.2,17.4,31.1,140
"sekihoS7_2",21.02,3.83,6.2,18.8,29.2,140
"sekihoS7_3",22.04,5.03,4.9,20.6,26.4,140
"sekihoS8_1",26.87,4.89,5,23.7,20.7,140
"sekihoS8_2",25.28,5.95,6.3,13.1,24.8,140
"sekihoS8_3",19.47,5.26,5.4,19,21.4,140
"st27_1",17.89,4.98,9.9,28.9,53.3,130
"st27_2",18.04,6.67,11,27.8,38.7,130
"st27_3",16.99,7.43,8.1,23.2,42.5,130
"st40_1",18.13,0.3,5.9,20.2,40.3,144
"st40_2",17.62,0.37,14.3,37.1,42.3,144
"st40_3",19.79,0.34,8.9,42.5,39.5,144
"st44_1",22.32,3.56,16.9,36.8,49.1,144
"st44_2",27.18,3.48,11.6,29.4,38,149
"st44_3",25.87,7.17,10.6,35.7,44.7,144
