"","Rosmarinic.acid..mg.gDW.","Perilaldehyde..mg.gDW.","LeafYield.1st.DW","Leaf.yield..2nd.DW","Leaf.yield..3rd.DW","Flowering.date"
"S827F4_149_3",30.2,4.09,2.2,17,37.3,130
"S827F4_151_1",24.71,3.63,5.6,29.2,38.8,128
"S827F4_151_2",25.49,4.06,4,32.1,42.7,128
"S827F4_151_3",30.36,2.54,3.9,32.1,51.9,128
"S827F4_165_1",12.98,7.91,4,24.1,45.5,128
"S827F4_165_2",18.89,5.86,11.7,38.1,56.3,140
"S827F4_165_3",22.25,8,5.8,28.2,56.4,130
"S827F4_153_1",21.6,5.9,3.8,33.1,61.8,128
"S827F4_153_2",22.45,4.32,7,26.5,25.8,128
"S827F4_153_3",15.38,3.67,10.6,36.6,40.5,128
"S827F4_154_1",27.09,5.39,NA,40.4,40.6,140
"S827F4_154_2",21,4.88,8.3,33.1,43,137
"S827F4_154_3",24.64,4.64,6.2,34.7,39.1,140
"S827F4_155_1",24.56,3.23,5.7,24.2,49.3,144
"S827F4_155_2",25.36,3.76,2.9,22.8,35.5,149
"S827F4_155_3",25.39,3.89,3.2,28.2,40.5,144
"S827F4_156_1",28.18,3.76,12.9,34.1,61.6,130
"S827F4_156_2",32.87,3.27,7.8,31.3,49.2,130
"S827F4_156_3",30.24,2.71,11.6,30.8,46.3,128
"S827F4_157_1",21.04,2.7,6.6,24.5,63.3,149
"S827F4_157_2",16.18,4.16,8.9,26,20.3,149
"S827F4_157_3",15.39,4.76,8.88,24.1,31.8,130
"S827F4_158_1",14.95,6.31,2.4,15,38.4,130
"S827F4_158_2",16.8,6.11,3.6,24.2,48.4,130
"S827F4_158_3",23,5.84,6.2,26.4,46.6,130
"S827F4_159_1",15.08,5.3,1.8,25.2,26.6,133
"S827F4_159_2",24.73,3.54,5.6,25.1,37.4,128
"S827F4_159_3",21.74,4.04,4.9,24.4,45.1,128
"S827F4_160_1",24.59,7.16,4.1,25.9,47,144
"S827F4_160_2",23.9,7.38,3.8,27,41,144
"S827F4_160_3",19.61,6.79,2.6,31.6,53.7,140
"S827F4_161_1",20.67,7.93,4.1,26.7,58.6,128
"S827F4_161_2",26.55,7.53,4,30.4,71.6,137
"S827F4_161_3",31.71,6.39,6.4,28.9,32.1,140
"S827F4_162_1",29.33,2.87,15.44,46.2,37.8,128
"S827F4_162_2",18.5,3.92,11.6,49.6,25,144
"S827F4_162_3",29.89,4.14,12.8,41.3,46.1,140
"S840F4_001_1",21.28,0.23,10.9,36.8,32,137
"S840F4_001_2",23.87,0.26,14.6,46.3,41.6,137
"S840F4_001_3",18.94,0.2,11.2,27.4,17.6,137
"S840F4_002_1",18.68,0.2,11,27.9,32.2,144
"S840F4_002_2",13.82,0.18,2.9,23.4,21.9,144
"S840F4_002_3",22.5,0.31,13.5,33.9,32.7,144
"S840F4_004_1",25.86,4.4,2.6,22.1,26.5,140
"S840F4_004_2",28.53,4.6,1.5,20.6,23.7,140
"S840F4_004_3",33.23,2.86,1.5,14.9,11.4,140
"S840F4_005_1",22.46,0.23,5.66,21.9,37.2,149
"S840F4_005_2",25.52,2.2,21.3,42.3,46.7,149
"S840F4_005_3",23.45,2.03,13.3,30.6,36.7,149
"S840F4_006_1",33.03,0.43,18.44,26,42,144
"S840F4_006_2",27.25,0.59,17,24.5,42.6,144
"S840F4_006_3",32.14,1.86,17.7,29.6,44.7,144
"S840F4_007_1",28.97,0.88,13.1,41.6,46.5,140
"S840F4_007_2",19.74,0.58,9.2,30.2,25.4,144
"S840F4_007_3",31.09,0.48,20.2,32.2,40.8,144
"S840F4_008_1",27.11,0.18,5.1,42.5,59.9,140
"S840F4_008_2",24.29,0.15,5.4,43.5,43.8,140
"S840F4_008_3",19.93,0.13,1.8,23.8,26.9,140
"S840F4_010_1",21.25,0.21,4.5,20.6,21.6,144
"S840F4_010_2",22.3,0.2,2.1,17,21.5,144
"S840F4_010_3",15.61,3.38,2.88,17.5,20.9,149
"S840F4_011_1",28.8,2.83,1.9,8.3,19.3,140
"S840F4_011_2",24.19,3.17,4,11,18.7,137
"S840F4_011_3",21.38,2.54,2.2,8.8,19.4,137
"S840F4_013_1",26.99,0.15,9.9,18.2,37.2,140
"S840F4_013_2",22.75,0.18,7.4,13.2,31.2,140
"S840F4_013_3",25.02,0.12,7.3,16.1,24.8,140
"S840F4_014_1",25.1,1.05,4.4,12.1,53.2,144
"S840F4_014_2",19.38,0.51,6.6,17.8,46.5,144
"S840F4_014_3",19.51,0.76,5.8,13.9,35,144
"S840F4_016_1",19.16,0.09,10,24.2,76.9,144
"S840F4_016_2",16.41,0.08,7.2,34.5,54,149
"S840F4_016_3",24.97,0.12,4.5,14.1,19.8,140
"S840F4_017_1",22.36,0.12,14.6,32.4,39.2,140
"S840F4_017_2",21.82,0.1,11.7,16.9,17.5,140
"S840F4_017_3",26.95,0.11,13.9,29.8,65.5,144
"S840F4_018_1",11.6,1.51,3.1,14.1,19.9,149
"S840F4_018_2",21.43,1.64,10.7,19.1,66,149
"S840F4_018_3",8.63,1.27,9.44,13.5,36.4,144
"S840F4_019_1",27.71,0.22,6.9,21.4,50.8,144
"S840F4_019_2",23.66,0.17,10,32.1,58,144
"S840F4_019_3",30.12,0.18,0,17.8,41,144
"S840F4_020_1",19.65,0.12,0,12.2,35.6,144
"S840F4_020_2",17.02,0.13,0,13.2,42.6,140
"S840F4_020_3",25.7,0.21,0,13,38,140
"S840F4_021_1",25.75,0.15,7.5,35,64.2,149
"S840F4_021_2",27.48,0.74,4.8,28.6,43.1,144
"S840F4_021_3",21.75,2.09,9.2,34.7,39.7,144
"S840F4_022_1",25.01,3.17,4.5,28.8,41.5,144
"S840F4_022_2",21.97,0.16,10.8,38.3,38.9,144
"S840F4_022_3",21.32,0.52,16,30.2,52.2,144
"S840F4_023_1",21.2,1.89,5.9,19,21.7,149
"S840F4_023_2",23.9,2.08,5.2,20.8,26.7,149
"S840F4_023_3",24.3,2.04,8.7,18.7,35,149
"S840F4_024_1",29.73,2.53,5.4,17.7,29,140
"S840F4_024_2",24.57,2.29,5.8,22,32.2,140
"S840F4_024_3",24.81,2.86,10.22,18.3,24.4,149
"S840F4_025_1",21.04,0.64,8.1,28.5,44.3,144
"S840F4_025_2",18.56,0.13,9.4,30.4,31.8,144
"S840F4_025_3",25.05,0.65,10.3,30,41.1,144
"S840F4_026_1",26.8,0.84,9.4,18,30.6,149
"S840F4_026_2",22.77,5.33,5.2,10.7,22.1,149
"S840F4_026_3",28.98,3.98,1.6,13.4,12.5,149
"S840F4_027_1",27.67,0.34,6.3,20.1,39.3,149
"S840F4_027_2",32.92,0.1,8.7,24.4,38.5,149
"S840F4_027_3",32.94,0.1,12,27.7,33.3,149
"S840F4_028_1",30.06,0.09,17.2,38,44.3,144
"S840F4_028_2",31.7,0.08,18.9,28.2,42.5,140
"S840F4_028_3",26.89,0.08,15.7,29.5,46.3,144
"S840F4_030_1",24.29,4,12.8,24.7,32.5,137
"S840F4_030_2",24.77,6.98,13.5,27.1,46.6,137
"S840F4_030_3",16.66,5.53,7.9,22.9,30.1,140
"S840F4_031_1",23.35,0.11,20.4,29.3,39.5,144
"S840F4_031_2",23.63,0.08,21.6,23.7,29.6,144
"S840F4_031_3",22.14,0.09,26.3,38.8,49.7,144
"S840F4_032_1",30.25,0.08,16.5,43.5,56.2,144
"S840F4_032_2",31.73,0.1,12.9,40.2,51.1,149
"S840F4_032_3",27.83,0.1,17.2,39.7,49.1,149
"S840F4_033_1",31.12,5.13,24.2,55.7,34.9,149
"S840F4_033_2",26.47,8.32,10.9,32.7,46.5,144
"S840F4_033_3",36.24,5.07,7.9,34.6,47.9,149
"S840F4_034_1",38.27,0.15,9.88,25.4,36.1,144
"S840F4_034_2",30.95,0.08,4.5,26.7,34.1,137
"S840F4_034_3",27.95,0.29,6.3,34.6,48.3,140
"S840F4_035_1",25.13,0.62,4.1,30.9,38.9,149
"S840F4_035_2",36.98,0.05,5.5,28.1,37.7,149
"S840F4_035_3",32.5,0,7.2,26.1,46.1,149
"S840F4_037_1",21.31,4.49,18.6,40,34.2,144
"S840F4_037_2",27.42,0.36,17.5,37.8,46.8,144
"S840F4_037_3",24.58,0.44,13.6,30.3,48.1,149
"S840F4_038_1",35.45,0.96,0,15.6,9.9,140
"S840F4_038_2",44.11,0.99,3.1,17.2,16.8,140
"S840F4_038_3",27.89,1.23,0,18.6,23.1,140
"S840F4_039_1",19.39,0,0,11.3,21.1,144
"S840F4_039_2",25.93,0,0,14.3,34.6,144
"S840F4_039_3",25.43,0,0,13.3,26.5,144
"S840F4_040_1",30.61,0,8.8,32.3,28,137
"S840F4_040_2",32.54,0.07,16.7,32.4,28.6,144
"S840F4_040_3",31.27,0,8.7,32.7,37.8,149
"S840F4_041_1",31.61,0.12,4.1,15.4,23.7,144
"S840F4_041_2",23.46,0.04,7.4,25,19.7,140
"S840F4_041_3",29.5,0.05,4.9,17.5,21.8,140
"S840F4_042_1",24.19,0.1,11.3,32.2,17,140
"S840F4_042_2",19.28,0.08,12,25.2,29.1,140
"S840F4_042_3",26.55,0.15,9.2,31.7,31.8,140
"S840F4_043_1",28.89,0,12.1,49.9,31.8,144
"S840F4_043_2",25.72,0,5.8,31.2,26.6,144
"S840F4_043_3",30.77,0,7.3,32.2,21.6,144
"S840F4_044_1",33.18,0,14.9,43.9,46.3,149
"S840F4_044_2",33.68,0,15.1,47.9,29.1,149
"S840F4_044_3",25.3,0.06,5.9,24.8,30.1,149
"S840F4_046_1",31.58,0,16.4,35,42.9,149
"S840F4_046_2",24.29,0,4.5,35.1,35.9,144
"S840F4_046_3",29.89,0,13.2,33.9,26.9,149
"S840F4_064_1",30.71,0,16.9,35.1,39.9,149
"S840F4_064_2",18.05,0,16.3,34.6,31.7,149
"S840F4_064_3",25.18,0,11.9,28.6,27.8,149
"S840F4_048_1",34.79,0.58,12.3,37.7,23.5,140
"S840F4_048_2",19.02,0.21,19.3,35.3,34.3,144
"S840F4_048_3",29.99,0.21,13.9,33.6,28.8,144
"S840F4_049_1",30.9,0.1,11.2,41.5,33.5,140
"S840F4_049_2",32.16,0.1,4.7,29.7,22.7,140
"S840F4_049_3",39.83,0.1,0,0,0,140
"S840F4_070_1",23.03,3.38,19.2,34.9,41.2,149
"S840F4_070_2",19.04,3.02,10.4,34.7,46,149
"S840F4_070_3",20.28,4.16,6.8,24.1,26.4,149
"S840F4_051_1",28.92,0.22,15.44,53.8,44.3,149
"S840F4_051_2",22.31,0.25,12.7,52.5,30,149
"S840F4_051_3",19.1,0.48,15.2,46.5,31.9,149
"S840F4_052_1",27.44,0,9.4,13,33.3,149
"S840F4_052_2",33.68,0,11.6,25.1,31.3,149
"S840F4_052_3",37.25,0,14,32.7,25.5,149
"S840F4_055_1",24.97,0,5.6,16.5,21,149
"S840F4_055_2",24.56,0,3.9,13.5,12.7,144
"S840F4_055_3",23.47,0.05,11.2,24.8,27.6,149
"S840F4_056_1",15.88,0.05,19.7,40.8,33.5,149
"S840F4_056_2",12.12,0.04,4.9,30.6,40.2,144
"S840F4_056_3",17.76,0,13.8,46.1,49.2,149
